Tipo,Slot,Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Target Slot
Advanced Algorithms,Front Right,Trapped Edge,AF2L24_Front Right.png,AF2L24,U R' F R2 U' R' U2 F',U R' F R F' U2 L' U' L,R U R' U' R U R' F U F',(FL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L25_Front Right.png,AF2L25,U' F' R' U' R F,d' R' u' R' u R,U' R U' R' r' U' R U M',(BR Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L26_Front Right.png,AF2L26,U2 R B' U' B R',y U2 F R' U' R F',U2 l U' F' U l',(BL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L27_Front Right.png,AF2L27,U F' U2 F L' U' L,U r' F' D' F D r,U' R U' R' F U2 F',(FL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L28_Front Right.png,AF2L28,U' R U2 R' f R f',R' F R F' R U2 R2 U R,U R U R' U f R f',(BR Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L29_Front Right.png,AF2L29,U R U R' L U L',U' R U2 R' U' L U L',U R U M' B r',(BL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L30_Front Right.png,AF2L30,U R F U F' R',U L u L u' L',U L D F D' L',(FL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L31_Front Right.png,AF2L31,R U' R2 U R,y M F2 M',S R2 S',(BR Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L32_Front Right.png,AF2L32,L F' U F L',l F' U L' U' M',y' F R' U R F',(BL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L33_Front Right.png,AF2L33,R U' R' U2 L' U L,M F2 M',U F r U2 r' F',(FL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L34_Front Right.png,AF2L34,U' R U' R' U f R' f',d' R' D' F' D R,U' R U' R' d L U' L',(BR Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L35_Front Right.png,AF2L35,U2 L U' F' U F L',U' R U R' y' U' L' U' L,U' R U R' U' f' L' f,(BL Slot)
Advanced Algorithms,Front Right,Trapped Edge,AF2L36_Front Right.png,AF2L36,U' R U' R' y L U2 L',U' R U' R' U2 F' r U r',U' R U' R' y' U' R U' R',(FL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L37_Front Right.png,AF2L37,F' U R' U2 R F,R U' R' U' f R f',R U R' U' B U' B',(BR Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L38_Front Right.png,AF2L38,L R U2 R' L',R U' R' U2 L U L',R U R' U' L U2 L',(BL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L39_Front Right.png,AF2L39,R' F R2 U R' F',R' F R2 U R2 F' R,R' F R2 U R2 F' R2 U2 R',(FL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L40_Front Right.png,AF2L40,R U' R2 U' R U' R' U' R,R U' R' U' R U' R2 U' R,r U' r' U2 r U r' d' R U R',(BR Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L41_Front Right.png,AF2L41,F' U L' U L U' L U L' F,R U' R' U' R U' R' d' R' U' R,R U' R' y R' U R U R' U' R,(BL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L42_Front Right.png,AF2L42,R U' R' U' R U' R' U2 L' U' L,R U' R' U' L' U L U L' U' L,r U' r' U2 r U r' d R U R',(FL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L43_Front Right.png,AF2L43,R U' R' U R' U' R U' R' U R,R U R' U' R U' R' U R' U' R,,(BR Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L44_Front Right.png,AF2L44,R U R' U' R U' R' f' L' f,R U' R' U f' U' L' U L' f,R U' R' y R' U' R U' R' U R,(BL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L45_Front Right.png,AF2L45,R U' R' U' L' U' L U' L' U L,R U R' U' R U' R' U' L' U' L,y' R' U R2 U R' U R U R',(FL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L46_Front Right.png,AF2L46,F' R' U R U' R' U' R F,R U' R' U' R U R' U f R' f',R U' R' U' R U R' r' U' R U M',(BR Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L47_Front Right.png,AF2L47,R U' R' U' R U R' L U' L',R U' R' U' R U M' B' r',R U R' U' R U2 R' U L U L',(BL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L48_Front Right.png,AF2L48,R' F R2 U' R' U' R U R' U2 F',R' F R F' U2 L' U L U' L' U' L,R U' R' U' R U R' U' F U' F',(FL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L49_Front Right.png,AF2L49,R U R' U2 R U' R' f R f',F' U' R' U2 R U R' U' R F,R U' R' y R U2 R' U R U' R',(BR Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L50_Front Right.png,AF2L50,R U' R' U R U2 R' L U2 L',R U' R' U' L U2 L' U L U' L',R U R' L U' L' U L U L',(BL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L51_Front Right.png,AF2L51,R U R' d' L U' L' U L U L',R U R' U' y' R U' R' U R U R',R U R' L' U L U' L F' L' F L' U L,(FL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L52_Front Right.png,AF2L52,R U' R2 U2 R U R' U2 R,R U' R2 U2 R U2 R' U R,F R' F' R U' R U2 R2 U' R,(BR Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L53_Front Right.png,AF2L53,R U' R' d R' U2 R L' U L,F' U2 L' U2 L2 U L' F,R U' R' U y L' U2 L R' U R,(BL Slot)
Advanced Algorithms,Front Right,Both Pieces Trapped,AF2L54_Front Right.png,AF2L54,R U' R' U2 L' U2 L U2 L' U L,y' R' U R2 U2 R' U2 R U' R',y' R' U R2 U2 R' U' R U2 R',(FL Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L1_Front Left.png,AF2L1,L' U' L U R U' R',M F' M',R L' U' L R',(FR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L2_Front Left.png,AF2L2,L' U' L y R U' R',r' U F2 U' r,y' R U' R' L U2 L',(BR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L3_Front Left.png,AF2L3,L' U' L2 U2 L',L' U2 L2 U' L',,(BL Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L4_Front Left.png,AF2L4,U2 L' U L U' R U R',F U F' U2 R U R',U' F U' R U R2 F' R,(FR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L5_Front Left.png,AF2L5,L F' L' F R' U2 R,r U' r' F R' U2 R,y' R U R' U L U L',(BR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L6_Front Left.png,AF2L6,U2 L' U L U L U L',F U F' L U L',L F' L' S' L f,(BL Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L7_Front Left.png,AF2L7,U' L' U L R U' R',U' L' U' L R U R',,(FR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L8_Front Left.png,AF2L8,U L' U2 L f R f',F U2 R U R2 U' R F',U' L' U' L d' R U R',(BR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L9_Front Left.png,AF2L9,U' L' U L U' L U2 L',U L' U2 L U' L U L',U' L' U L U2 L U' L',(BL Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L10_Front Left.png,AF2L10,L' U' L F' U' F,U L' U' F' U' F L,L' U' L y' R' U' R,(FR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L11_Front Left.png,AF2L11,L' U' L U' R' U' R,,,(BR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L12_Front Left.png,AF2L12,F' L F L' U2 L U' L',L' U' L y U2 R' U' R,L' U' L y' U2 L' U' L,(BL Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L13_Front Left.png,AF2L13,U L' U L y' U2 R' U R,U L' U L y U2 L' U L,U L' U L U' F R' F' R,(FR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L14_Front Left.png,AF2L14,U L' U L R' U2 R,,,(BR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L15_Front Left.png,AF2L15,U L' U L f' L f,U S' L S,U L' U L y R' U R,(BL Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L16_Front Left.png,AF2L16,y' U2 R U' R' U2 R' U R,y' U2 R U' R' U R' U2 R,L F L' F L F' L',(FR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L17_Front Left.png,AF2L17,U2 L F' L' F U2 R' U' R,U R' D R U' R' U' D' R,U2 F U2 R' U' R F',(BR Slot)
Advanced Algorithms,Front Left,Trapped Corner,AF2L18_Front Left.png,AF2L18,y U2 L U' L' R' U R,y' U2 R U' R' L' U L,,(BL Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L19_Front Left.png,AF2L19,U' F U F2 U' F,y U' L U L2 U' L,U' L F2 L' F2,(FR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L20_Front Left.png,AF2L20,U L' U2 L U R' U' R,U' L' U' L R' U' R,U' L' U' R' U' R L,(BR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L21_Front Left.png,AF2L21,U' L U L2 U' L2 U L',L' U' L U' L' U L U' L U2 L',U' L S U2 S' L',(BL Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L22_Front Left.png,AF2L22,U' L F' L2 U L U2 F,d R' F R F' R' U' R,U' L F' L' F U2 R U R',(FR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L23_Front Left.png,AF2L23,U2 R2 D' F2 D R2,U' L' U L U' L' U L R' U2 R,U2 R2 u' R2 u R2,(BR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L24_Front Left.png,AF2L24,U' L F' L' F L U L',U' L' U L U' S' L S,,(BL Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L25_Front Left.png,AF2L25,U' R' u' R' u R,U' L' F' U' F L,U' R' D' F' D R,(FR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L26_Front Left.png,AF2L26,U2 F R' U' R F',U2 F U' F' U R' U' R,U2 L F' L' F R' U' R,(BR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L27_Front Left.png,AF2L27,U L' U2 L f' L' f,U' F U' F' L U2 L',U' L' U' L d' R' U' R,(BL Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L28_Front Left.png,AF2L28,U' F U2 F' R U R',U' R U F U' F' R',U F U2 R U R2 F' R,(FR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L29_Front Left.png,AF2L29,U L' U L R' U R,,,(BR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L30_Front Left.png,AF2L30,U L' U L R B L' B' M' x',d L u L u' L',U L' U L B L' B' L,(BL Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L31_Front Left.png,AF2L31,R L' U2 L R',L' U L U2 R U' R',F2 R' F2 R,(FR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L32_Front Left.png,AF2L32,R' F U' F' R,r' F U' R U M',L' U L y' U L U' L',(BR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L33_Front Left.png,AF2L33,L' U L2 U' L',,,(BL Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L34_Front Left.png,AF2L34,y' U' F' R' U' R F,U' F U' F' U R U' R',U L' U2 L y U2 L' U' L,(FR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L35_Front Left.png,AF2L35,U' F U F' U' R' U' R,U2 L F' L' F R' U' R,,(BR Slot)
Advanced Algorithms,Front Left,Trapped Edge,AF2L36_Front Left.png,AF2L36,U L' U2 L y' L' U' L,U' L' U' L y' U' L' U' L,U L' U2 L y R' U' R,(BL Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L37_Front Left.png,AF2L37,R' F R2 U' R2 F' R,R' F R2 U R' F' R U2 R',F R U' R2 F' R,(FR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L38_Front Left.png,AF2L38,L' U' L U R' U2 R,L' R' U2 R L,,(BR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L39_Front Left.png,AF2L39,L' U L U f' L' f,L' U' L U y' L' U L,L' U' L y R' U2 R,(BL Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L40_Front Left.png,AF2L40,L' U L U R U R' U R U' R',F U' R U R' U R U' R' F' R U' R',,(FR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L41_Front Left.png,AF2L41,L' U L y' L U L' U L U' L',L' U L B L' B L B2,L' U' L U L' U L f R f',(BR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L42_Front Left.png,AF2L42,L' U L U' L U L' U L U' L',,,(BL Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L43_Front Left.png,AF2L43,R' F R U' R' F' R2 U R' U R U R',L' U L U L' U L U2 R U R',L' U L U R U' R' U' R U R',(FR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L44_Front Left.png,AF2L44,F U' R U' R' U R' U' R F',L' U L y' L U' L' U' L U L',L' U L U L' U L U f R f',(BR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L45_Front Left.png,AF2L45,L' U L2 U L' U L U L',L' U L U L' U L2 U L',,(BL Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L46_Front Left.png,AF2L46,L' U' L U y' R' U R U' R' U' R,L' U L y' U2 R' U2 R U' R' U R,L' U' L d R' U R U' R' U' R,(FR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L47_Front Left.png,AF2L47,L' U' L R' U R U' R' U' R,L' U L U R' U2 R U' R' U R,,(BR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L48_Front Left.png,AF2L48,L' U' L d' R' U R U' R' U' R,L' U L y R' U2 R U' R' U R,L' U L y' L' U2 L U' L' U L,(BL Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L49_Front Left.png,AF2L49,L' U' L y' R' U2 R U R' U' R,L' U' L y L' U2 L U L' U' L,L' U L U L' U' L y' R' U2 R,(FR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L50_Front Left.png,AF2L50,L' U L U L' U' L R' U R,F U2 R U' R' f R f' F',L' U2 L R' U2 R U R' U' R,(BR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L51_Front Left.png,AF2L51,F L U' L' U L U L' F',L' U L l U' L' U L U l',L' U' L y U2 R' U2 R U R' U' R,(BL Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L52_Front Left.png,AF2L52,F2 R' F2 D' R U' R' D R,L' U' L R U' R' U R U' R' U2 R U' R',L' U' L R' U2 R2 U R2 U R,(FR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L53_Front Left.png,AF2L53,F U2 R U2 R2 U' R F',L' U L U2 r U2 R2 U' R2 U' r',,(BR Slot)
Advanced Algorithms,Front Left,Both Pieces Trapped,AF2L54_Front Left.png,AF2L54,L' U L2 U2 L' U2 L U' L',L' U L2 U2 L' U' L U2 L',L' U' L F' U' L F' L' F L U L' F,(BL Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L1_Back Left.png,AF2L1,S' L' S,L U' L' y L U' L',y' L' U' L U R U' R',(FL Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L2_Back Left.png,AF2L2,L U' L' U' R U' R',l U' F2 U l',L U' L' R U2 R',(FR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L3_Back Left.png,AF2L3,y R' U' R U' R U' R',L U' L' y' U2 L U' L',y R' U' R2 U2 R',(BR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L4_Back Left.png,AF2L4,L U L' U2 F U F',B L' B' L U L' U2 L,L U L' y U2 L U L',(FL Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L5_Back Left.png,AF2L5,L U L' U R U R',,,(FR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L6_Back Left.png,AF2L6,L U L' f R f',y U2 R' U R U R U R',L U L' y' L U L',(BR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L7_Back Left.png,AF2L7,U' f' r' D r S,y' U' L' U L R U' R',U' f' L' F L S,(FL Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L8_Back Left.png,AF2L8,R D' R' U R U D R',y' U' L' U L y' L U2 L',y U' R' U R y' R U2 R',(FR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L9_Back Left.png,AF2L9,U L' B' L B' L' B L,y' U' L' U L U2 L U' L',,(BR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L10_Back Left.png,AF2L10,f' L' f L' U' L,y' L' U' L F' U' F,y R' U' R y R' U' R,(FL Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L11_Back Left.png,AF2L11,L' B L B' R U2 R',y' L' U' L U' R' U' R,y R' U' R U' L' U' L,(FR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L12_Back Left.png,AF2L12,f' L' f U2 R' U' R,y R' U' R y' U2 R' U' R,y' L' U' L y U2 R' U' R,(BR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L13_Back Left.png,AF2L13,U L U L2 U2 L,U L U2 L2 U L,,(FL Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L14_Back Left.png,AF2L14,y' U L' U L R' U2 R,y U R' U R L' U2 L,U L U L' F' U F,(FR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L15_Back Left.png,AF2L15,U L R' U R L',U L R' U L' R,,(BR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L16_Back Left.png,AF2L16,L U2 L' U L' U' L,U2 L U' L' U2 L' U L,U2 L U' L' U L' U2 L,(FL Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L17_Back Left.png,AF2L17,U2 L U' L' y L' U2 L,U2 L U' L' y' R' U2 R,,(FR Slot)
Advanced Algorithms,Back Left,Trapped Corner,AF2L18_Back Left.png,AF2L18,U2 L U' L' R' U R,L U2 L' U' R' U' R,,(BR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L19_Back Left.png,AF2L19,U' L U L2 U' L,,,(FL Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L20_Back Left.png,AF2L20,U' L U' L' R U' R',y U' R' U' L' U' L R,,(FR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L21_Back Left.png,AF2L21,U' L U L' U2 R' U' R,U2 L U' L' R' U' R,,(BR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L22_Back Left.png,AF2L22,U r' U L U' x L' U' L,U L U' L' U S' L' S,y' U' L F' L' F U2 R U R',(FL Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L23_Back Left.png,AF2L23,U2 R2 D B2 D' R2,U2 R2 u R2 u' R2,U L U' L' U L U' L' R U2 R',(FR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L24_Back Left.png,AF2L24,y' U' L F' L' F L U L',U' R' U' R2 u R u' R',,(BR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L25_Back Left.png,AF2L25,d' L' u' L' u L,U' L U' L' F' L F L',,(FL Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L26_Back Left.png,AF2L26,U2 R d' R' U R F',U2 L F' U' F L',,(FR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L27_Back Left.png,AF2L27,U' L U' L' R2 F R F' R,U' L U' L' U' f R' f',U' L U' L' d' R U' R',(BR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L28_Back Left.png,AF2L28,U' L U2 L' F U F',U L U L' d R U R',U f' L f L' U2 L,(FL Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L29_Back Left.png,AF2L29,U L U L' R U R',U' L U2 L' U' R U R',,(FR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L30_Back Left.png,AF2L30,U L U L' U' f R f',U R u R u' R',,(BR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L31_Back Left.png,AF2L31,L U' L2 U L,,,(FL Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L32_Back Left.png,AF2L32,F' L U' L' F,R u R' U R u' R',L U' L' d' L' U L,(FR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L33_Back Left.png,AF2L33,L U' L' U2 R' U R,R' L U2 L' R,,(BR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L34_Back Left.png,AF2L34,U' F' D' L' D F,,,(FL Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L35_Back Left.png,AF2L35,U' L U L' U' F' U' F,U' L U L' y U' L' U' L,U' L U L' y' U' R' U' R,(FR Slot)
Advanced Algorithms,Back Left,Trapped Edge,AF2L36_Back Left.png,AF2L36,U' L U' L' y' L U2 L',,,(BR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L37_Back Left.png,AF2L37,L U L' y' U' R U' R',L U' L' d' L U L',L U L' F U2 F',(FL Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L38_Back Left.png,AF2L38,L U L' U' R U2 R',R L U2 L' R',,(FR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L39_Back Left.png,AF2L39,L U L' U y R U' R',L U L' B' R B R',L U' L' U f R f',(BR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L40_Back Left.png,AF2L40,L U' L2 U' L U' L' U' L,,,(FL Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L41_Back Left.png,AF2L41,f' L f R U R2 F R F',L U' L' U' L U' L' d' L' U' L,L U' L' y' R' U R U R' U' R,(FR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L42_Back Left.png,AF2L42,L U' L' U' R' U R U R' U' R,,,(BR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L43_Back Left.png,AF2L43,L U' L' U L' U' L U' L' U L,,,(FL Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L44_Back Left.png,AF2L44,L U' L' y L' U' L U' L' U L,L U' L' y' R' U' R U' R' U R,L U L' U' L U' L' b' R' b,(FR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L45_Back Left.png,AF2L45,L U' L' U' R' U' R U' R' U R,,,(BR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L46_Back Left.png,AF2L46,L U L' y U2 L U2 L' U' L U L',L U' L' U' L U L' U y L U' L',L U' L' U' L U L' F' L F L',(FL Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L47_Back Left.png,AF2L47,L U' L' U' L U L' R U' R',L U L' U R U2 R' U' R U R',y' L' U L U R' U2 R U' R' U R,(FR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L48_Back Left.png,AF2L48,L U' L' U' L U L' y' L U2 L',L U L' y' L U2 L' U' L U L',L U' L' R' F R U R' U' F' R,(BR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L49_Back Left.png,AF2L49,L U' L' y L U2 L' U L U' L',L U L' y U L U' L' U L U L',,(FL Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L50_Back Left.png,AF2L50,L U' L' U' R U2 R' U R U' R',L U L' R U' R' U R U R',,(FR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L51_Back Left.png,AF2L51,L U' L' y' U2 L U2 L' U L U' L',L U L' y' U' L U' L' U L U L',f' L f U2 R' U' R U R' U2 R,(BR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L52_Back Left.png,AF2L52,L U' L2 U2 L U2 L' U L,L U' L2 U2 L U L' U2 L,,(FL Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L53_Back Left.png,AF2L53,L U L' R U2 R' y' U R' U' R,L U L' R U2 R' U F' U' F,,(FR Slot)
Advanced Algorithms,Back Left,Both Pieces Trapped,AF2L54_Back Left.png,AF2L54,L U L' R U2 R2 U' R2 U' R',,,(BR Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L1_Back Right.png,AF2L1,R' U' R U L U' L',L R' U' R L',M' f' E,(BL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L2_Back Right.png,AF2L2,F R' U2 R F',R' U' R F U' F',R' U' R y' R U' R',(FL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L3_Back Right.png,AF2L3,R' U' R2 U2 R',R' U2 R2 U' R',,(FR Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L4_Back Right.png,AF2L4,U2 R' U R U' L U L',,,(BL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L5_Back Right.png,AF2L5,U2 R' U R U2 F U F',y R U R' U L U L',U2 R' U R y' U2 R U R',(FL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L6_Back Right.png,AF2L6,U2 R' U R U R U R',y R U R' F U F',f R f' R U R',(FR Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L7_Back Right.png,AF2L7,U' R' U R L U' L',U' R' U' R L U L',,(BL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L8_Back Right.png,AF2L8,U' R' U R U2 F' r U r',U' R' U' R d' L U L',U' R' U R d' L U' L',(FL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L9_Back Right.png,AF2L9,U R' U2 R U' R U R',U' R' U R U2 R U' R',,(FR Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L10_Back Right.png,AF2L10,R' U' R f' L' f,R' U' R y R' U' R,B' R B R' L U' L',(BL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L11_Back Right.png,AF2L11,R' U' R U' L' U' L,,,(FL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L12_Back Right.png,AF2L12,B' R B R' U2 R U' R',R' U' R U2 F' U' F,R' U' R y U2 L' U' L,(FR Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L13_Back Right.png,AF2L13,U R' U R y U2 R' U R,U R' U R y U R' U2 R,U R' U R y' U2 L' U L,(BL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L14_Back Right.png,AF2L14,U R' U R L' U2 L,,,(FL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L15_Back Right.png,AF2L15,U S R S',y U R L' U L R',y' U L R' U R L',(FR Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L16_Back Right.png,AF2L16,R B R' B R B' R',l U R' U R U' l',y' U2 L U' L' U2 L' U L,(BL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L17_Back Right.png,AF2L17,U L' D L U' L' U' D' L,y U2 R U' R' y R' U2 R,U2 f R f' U L' U' L,(FL Slot)
Advanced Algorithms,Back Right,Trapped Corner,AF2L18_Back Right.png,AF2L18,y U2 R U' R' L' U L,y' U2 L U' L' R' U R,,(FR Slot)
Advanced Algorithms,Back Right,Trapped Edge,AF2L19_Back Right.png,AF2L19,R' U R L U' L' U L U L',y U' R U R2 U' R,y' U' L U L2 U' L,(BL Slot)
Advanced Algorithms,Back Right,Trapped Edge,AF2L20_Back Right.png,AF2L20,U' R' U' R L' U' L,,,(FL Slot)
Advanced Algorithms,Back Right,Trapped Edge,AF2L21_Back Right.png,AF2L21,U' R S' U2 S R',U2 R U2 R2 U' R2 U R',U' R U R2 U' R2 U R',(FR Slot)
